city,station,latitude,longitude,date,aqi,aqi_level,pm25,pm10,o3,no2,so2,co,latitude_normalized,longitude_normalized,aqi_normalized,pm25_normalized,pm10_normalized,o3_normalized,no2_normalized,so2_normalized,co_normalized,year,month,quarter,day_of_year,week,season,aqi_rolling_7,aqi_rolling_30,aqi_rolling_std,aqi_mean,aqi_std,aqi_min,aqi_max,pm25_mean,pm10_mean
Coimbatore,Coimbatore - AQ Station,11.0081,76.9366,2020-01-01,37.56,Good,29.03,26.1,56.54,24.52,38.81,1.96,0.5567236092860273,0.0,0.2001022233580373,0.34485451450169463,0.21101141021380304,0.914371557336004,0.36418359668924005,0.9659902829379824,0.5863453815261044,2020,1,1,1,1,Winter,37.56,37.56,,67.24097222222223,25.549649492357347,30.94,127.15,40.43375,54.14277777777778
Coimbatore,Coimbatore - AQ Station,11.0081,76.9366,2020-02-01,79.46,Moderate,42.95,51.75,29.22,17.45,8.06,0.79,0.5567236092860273,0.0,0.5570321151716499,0.5187811392068972,0.43832945607621576,0.23034551827741612,0.18685728618008526,0.08716776221777653,0.11646586345381527,2020,2,1,32,5,Winter,58.51,58.51,29.627774131716336,67.24097222222223,25.549649492357347,30.94,127.15,40.43375,54.14277777777778
Coimbatore,Coimbatore - AQ Station,11.0081,76.9366,2020-03-01,31.1,Good,16.75,30.3,31.67,13.81,22.16,1.51,0.5567236092860273,0.0,0.1450719822812846,0.1914192450060131,0.24823307854215132,0.29168753129694547,0.09556057185854028,0.49014004001143174,0.40562248995983935,2020,3,1,61,9,Summer,49.373333333333335,49.373333333333335,26.255257251326505,67.24097222222223,25.549649492357347,30.94,127.15,40.43375,54.14277777777778
Coimbatore,Coimbatore - AQ Station,11.0081,76.9366,2020-04-01,32.67,Good,33.93,28.45,30.53,29.91,25.02,1.31,0.5567236092860273,0.0,0.15844620495783285,0.4060786855545317,0.2318378198737122,0.2631447170756135,0.4993729621269125,0.5718776793369533,0.3253012048192771,2020,4,2,92,14,Summer,45.1975,45.1975,23.006724198228074,67.24097222222223,25.549649492357347,30.94,127.15,40.43375,54.14277777777778
Coimbatore,Coimbatore - AQ Station,11.0081,76.9366,2020-05-01,78.29,Moderate,46.68,55.58,42.62,22.46,24.73,1.81,0.5567236092860273,0.0,0.5470653377630121,0.565386477579771,0.47227207267087623,0.5658487731597396,0.3125156759468272,0.5635895970277222,0.5261044176706827,2020,5,2,122,18,Summer,51.81600000000001,51.81600000000001,24.81944258036429,67.24097222222223,25.549649492357347,30.94,127.15,40.43375,54.14277777777778
Coimbatore,Coimbatore - AQ Station,11.0081,76.9366,2020-06-01,97.16,Moderate,58.18,90.48,27.56,38.31,39.71,1.98,0.5567236092860273,0.0,0.7078115682766845,0.7090758586221438,0.7815664118754846,0.1887831747621432,0.7100576874843242,0.9917119176907688,0.5943775100401606,2020,6,2,153,23,Monsoon,59.373333333333335,59.373333333333335,28.90473156192021,67.24097222222223,25.549649492357347,30.94,127.15,40.43375,54.14277777777778
Coimbatore,Coimbatore - AQ Station,11.0081,76.9366,2020-07-01,91.54,Moderate,60.25,84.45,20.98,46.18,29.57,0.68,0.5567236092860273,0.0,0.6599369622625436,0.7349399472097708,0.728126730918356,0.024036054081121704,0.90744920993228,0.7019148328093742,0.07228915662650603,2020,7,3,183,27,Monsoon,63.96857142857143,63.96857142857143,29.052534271884912,67.24097222222223,25.549649492357347,30.94,127.15,40.43375,54.14277777777778
Coimbatore,Coimbatore - AQ Station,11.0081,76.9366,2020-08-01,94.81,Moderate,56.7,81.2,20.12,18.07,21.63,2.17,0.5567236092860273,0.0,0.6877928273277111,0.6905836600184297,0.6993242494738008,0.002503755633450211,0.20240782543265615,0.47499285510145745,0.6706827309236947,2020,8,3,214,31,Monsoon,72.14714285714287,67.82375,28.4307824457258,67.24097222222223,25.549649492357347,30.94,127.15,40.43375,54.14277777777778
Coimbatore,Coimbatore - AQ Station,11.0081,76.9366,2020-09-01,121.22,Unhealthy for Sensitive,64.41,89.76,28.55,26.55,8.49,2.73,0.5567236092860273,0.0,0.9127694011414941,0.7869180189607509,0.7751855544477677,0.21357035553329998,0.41509907198394785,0.09945698771077452,0.895582329317269,2020,9,3,245,36,Monsoon,78.11285714285715,73.75666666666667,34.047504908233584,67.24097222222223,25.549649492357347,30.94,127.15,40.43375,54.14277777777778
Coimbatore,Coimbatore - AQ Station,11.0081,76.9366,2020-10-01,79.27,Moderate,44.15,66.4,35.19,35.74,11.68,2.83,0.5567236092860273,0.0,0.5554135786693924,0.533774813750449,0.5681621801262877,0.3798197295943916,0.6455981941309256,0.19062589311231778,0.9357429718875502,2020,10,4,275,40,Post-Monsoon,84.99428571428572,74.308,27.126393578421517,67.24097222222223,25.549649492357347,30.94,127.15,40.43375,54.14277777777778
