city,station,latitude,longitude,date,aqi,aqi_level,pm25,pm10,o3,no2,so2,co,latitude_normalized,longitude_normalized,aqi_normalized,pm25_normalized,pm10_normalized,o3_normalized,no2_normalized,so2_normalized,co_normalized,year,month,quarter,day_of_year,week,season,aqi_rolling_7,aqi_rolling_30,aqi_rolling_std,aqi_mean,aqi_std,aqi_min,aqi_max,pm25_mean,pm10_mean
Salem,Salem - AQ Station,11.6643,78.1456,2020-01-01,80.51,Moderate,62.63,69.8,25.1,47.79,29.49,1.48,0.6969327906156855,0.3626165981824183,0.5659766589999147,0.764677401721149,0.5982940068682839,0.12719078617926896,0.9478304489591172,0.6996284652757929,0.393574297188755,2020,1,1,1,1,Winter,80.51,80.51,,69.12458333333333,25.989965178214245,25.28,129.85,42.51777777777778,55.07013888888889
Salem,Salem - AQ Station,11.6643,78.1456,2020-02-01,89.56,Moderate,57.55,67.73,48.74,49.24,22.67,0.99,0.6969327906156855,0.3626165981824183,0.6430701081863872,0.701204179486779,0.5799490417635981,0.7190786179268904,0.9841986455981943,0.5047156330380109,0.1967871485943775,2020,2,1,32,5,Winter,85.035,85.035,6.399316369738258,69.12458333333333,25.989965178214245,25.28,129.85,42.51777777777778,55.07013888888889
Salem,Salem - AQ Station,11.6643,78.1456,2020-03-01,54.79,Moderate,37.55,40.54,59.65,18.09,18.65,2.78,0.6969327906156855,0.3626165981824183,0.34687792827327707,0.45130960376091334,0.3389830508474576,0.9922383575363044,0.20290945573112618,0.3898256644755644,0.9156626506024095,2020,3,1,61,9,Summer,74.95333333333333,74.95333333333333,18.03872593431513,69.12458333333333,25.989965178214245,25.28,129.85,42.51777777777778,55.07013888888889
Salem,Salem - AQ Station,11.6643,78.1456,2020-04-01,45.14,Good,32.7,22.01,42.67,14.45,29.35,0.99,0.6969327906156855,0.3626165981824183,0.2646733111849391,0.390710169147391,0.17476459510357817,0.5671006509764648,0.11161274140958113,0.6956273220920264,0.1967871485943775,2020,4,2,92,14,Summer,67.5,67.5,20.955646812573775,69.12458333333333,25.989965178214245,25.28,129.85,42.51777777777778,55.07013888888889
Salem,Salem - AQ Station,11.6643,78.1456,2020-05-01,55.04,Moderate,33.15,32.52,51.44,11.8,38.48,1.45,0.6969327906156855,0.3626165981824183,0.34900758156572104,0.39633279710122293,0.2679073889442783,0.7866800200300451,0.045146726862302505,0.9565590168619604,0.38152610441767065,2020,5,2,122,18,Summer,65.00800000000001,65.00800000000001,18.984326956729333,69.12458333333333,25.989965178214245,25.28,129.85,42.51777777777778,55.07013888888889
Salem,Salem - AQ Station,11.6643,78.1456,2020-06-01,42.72,Good,28.64,43.94,21.22,14.59,13.39,2.14,0.6969327906156855,0.3626165981824183,0.24405826731408123,0.3399815702750402,0.3691148775894538,0.030045067601402086,0.11512415349887134,0.2394969991426122,0.6586345381526104,2020,6,2,153,23,Monsoon,61.29333333333333,61.29333333333333,19.264377141933934,69.12458333333333,25.989965178214245,25.28,129.85,42.51777777777778,55.07013888888889
Salem,Salem - AQ Station,11.6643,78.1456,2020-07-01,63.71,Moderate,29.35,48.84,39.61,19.22,16.78,1.63,0.6969327906156855,0.3626165981824183,0.42286395774767865,0.3488528277133085,0.4125401573058602,0.49048572859288936,0.2312515675946827,0.33638182337810807,0.45381526104417663,2020,7,3,183,27,Monsoon,61.63857142857143,61.63857142857143,17.60959532808882,69.12458333333333,25.989965178214245,25.28,129.85,42.51777777777778,55.07013888888889
Salem,Salem - AQ Station,11.6643,78.1456,2020-08-01,85.05,Moderate,53.32,75.74,44.09,34.63,26.83,1.24,0.6969327906156855,0.3626165981824183,0.6046511627906975,0.6483514767207584,0.6509360806469479,0.6026539809714573,0.6177577125658391,0.6236067447842241,0.2971887550200803,2020,8,3,214,31,Monsoon,62.287142857142854,64.565,18.482454485525555,69.12458333333333,25.989965178214245,25.28,129.85,42.51777777777778,55.07013888888889
Salem,Salem - AQ Station,11.6643,78.1456,2020-09-01,66.48,Moderate,38.23,82.71,56.73,39.86,12.33,0.88,0.6969327906156855,0.3626165981824183,0.44646051622795807,0.4598060193355928,0.7127063254680401,0.9191286930395592,0.7489340356157512,0.20920262932266362,0.15261044176706826,2020,9,3,245,36,Monsoon,58.99,64.77777777777777,14.418044250174841,69.12458333333333,25.989965178214245,25.28,129.85,42.51777777777778,55.07013888888889
Salem,Salem - AQ Station,11.6643,78.1456,2020-10-01,53.84,Moderate,35.27,34.29,20.13,44.88,32.31,2.85,0.6969327906156855,0.3626165981824183,0.33878524576198993,0.4228216221281647,0.28359366345408216,0.0027541311967951786,0.8748432405317282,0.7802229208345243,0.9437751004016064,2020,10,4,275,40,Post-Monsoon,58.854285714285716,63.684000000000005,14.468549636070243,69.12458333333333,25.989965178214245,25.28,129.85,42.51777777777778,55.07013888888889
