city,station,latitude,longitude,date,aqi,aqi_level,pm25,pm10,o3,no2,so2,co,latitude_normalized,longitude_normalized,aqi_normalized,pm25_normalized,pm10_normalized,o3_normalized,no2_normalized,so2_normalized,co_normalized,year,month,quarter,day_of_year,week,season,aqi_rolling_7,aqi_rolling_30,aqi_rolling_std,aqi_mean,aqi_std,aqi_min,aqi_max,pm25_mean,pm10_mean
Trichy,Trichy - AQ Station,10.7905,78.696,2020-01-01,40.85,Good,20.66,20.7,26.16,13.59,5.01,0.87,0.5102293729901818,0.5276986293152562,0.2281284606866002,0.24027363456041984,0.16315497950592667,0.15373059589384078,0.09004263857536995,0.0,0.14859437751004015,2020,1,1,1,1,Winter,40.85,40.85,,68.53416666666666,23.668071364449535,30.33,124.98,41.06388888888889,54.74111111111111
Trichy,Trichy - AQ Station,10.7905,78.696,2020-02-01,40.51,Good,20.26,42.03,47.55,34.76,33.14,1.48,0.5102293729901818,0.5276986293152562,0.22523213220887633,0.23527574304590254,0.35218788080203833,0.6892839258888332,0.6210183095058941,0.8039439839954273,0.393574297188755,2020,2,1,32,5,Winter,40.68,40.68,0.24041630560342858,68.53416666666666,23.668071364449535,30.33,124.98,41.06388888888889,54.74111111111111
Trichy,Trichy - AQ Station,10.7905,78.696,2020-03-01,70.36,Moderate,44.3,57.34,55.68,26.67,9.59,1.61,0.5102293729901818,0.5276986293152562,0.47951273532668875,0.535649023068393,0.4878697241608508,0.8928392588883325,0.4181088537747681,0.13089454129751357,0.4457831325301205,2020,3,1,61,9,Summer,50.57333333333333,50.57333333333333,17.136599234776234,68.53416666666666,23.668071364449535,30.33,124.98,41.06388888888889,54.74111111111111
Trichy,Trichy - AQ Station,10.7905,78.696,2020-04-01,69.07,Moderate,43.67,51.48,23.43,22.42,17.72,1.26,0.5102293729901818,0.5276986293152562,0.4685237243376777,0.5277773439330283,0.43593663454082193,0.08537806710065099,0.3115124153498872,0.363246641897685,0.3052208835341365,2020,4,2,92,14,Summer,55.1975,55.1975,16.772209902096982,68.53416666666666,23.668071364449535,30.33,124.98,41.06388888888889,54.74111111111111
Trichy,Trichy - AQ Station,10.7905,78.696,2020-05-01,65.05,Moderate,41.32,61.08,43.65,21.79,20.24,2.03,0.5102293729901818,0.5276986293152562,0.4342788993951784,0.49841473128523905,0.5210147335770466,0.5916374561842764,0.29571106094808125,0.4352672192054872,0.6144578313253011,2020,5,2,122,18,Summer,57.16799999999999,57.16799999999999,15.178755548463121,68.53416666666666,23.668071364449535,30.33,124.98,41.06388888888889,54.74111111111111
Trichy,Trichy - AQ Station,10.7905,78.696,2020-06-01,55.95,Moderate,25.68,42.64,34.83,20.79,32.23,0.56,0.5102293729901818,0.5276986293152562,0.3567595195502172,0.3029971730676121,0.35759388501163175,0.37080620931397096,0.2706295460245799,0.777936553300943,0.024096385542168693,2020,6,2,153,23,Monsoon,56.964999999999996,56.964999999999996,13.585394731107373,68.53416666666666,23.668071364449535,30.33,124.98,41.06388888888889,54.74111111111111
Trichy,Trichy - AQ Station,10.7905,78.696,2020-07-01,87.57,Moderate,56.2,66.59,34.46,47.72,20.01,2.25,0.5102293729901818,0.5276986293152562,0.626118067978533,0.6843362956252832,0.5698460175030463,0.3615423134702054,0.946074742914472,0.42869391254644185,0.7028112449799196,2020,7,3,183,27,Monsoon,61.33714285714286,61.33714285714286,16.95912410698708,68.53416666666666,23.668071364449535,30.33,124.98,41.06388888888889,54.74111111111111
Trichy,Trichy - AQ Station,10.7905,78.696,2020-08-01,107.16,Unhealthy for Sensitive,67.48,82.42,31.68,28.49,36.5,2.9,0.5102293729901818,0.5276986293152562,0.7929976999744441,0.8252768363346713,0.7101362578929876,0.2919379068602905,0.4637572109355405,0.8999714204058302,0.9638554216867469,2020,8,3,214,31,Monsoon,70.80999999999999,67.065,21.51564314632495,68.53416666666666,23.668071364449535,30.33,124.98,41.06388888888889,54.74111111111111
Trichy,Trichy - AQ Station,10.7905,78.696,2020-09-01,32.75,Good,25.01,35.55,50.04,20.2,14.19,2.9,0.5102293729901818,0.5276986293152562,0.1591276940114149,0.29462570478079564,0.29476016395258664,0.7516274411617426,0.2558314522197141,0.2623606744784224,0.9638554216867469,2020,9,3,245,36,Monsoon,69.70142857142856,63.25222222222222,23.44997685043024,68.53416666666666,23.668071364449535,30.33,124.98,41.06388888888889,54.74111111111111
Trichy,Trichy - AQ Station,10.7905,78.696,2020-10-01,104.42,Unhealthy for Sensitive,59.44,83.71,26.06,30.02,36.88,1.66,0.5102293729901818,0.5276986293152562,0.7696566998892579,0.7248192168928733,0.7215686274509803,0.15122684026039057,0.5021319287684977,0.9108316661903402,0.46586345381526095,2020,10,4,275,40,Post-Monsoon,74.56714285714284,67.369,26.890604749791773,68.53416666666666,23.668071364449535,30.33,124.98,41.06388888888889,54.74111111111111
Trichy,Trichy - AQ Station,10.7905,78.696,2020-11-01,77.9,Moderate,46.93,54.27,37.11,20.75,18.39,2.21,0.5102293729901818,0.5276986293152562,0.5437430786267995,0.5685101597763443,0.4606624570732248,0.427891837756635,0.26962628542763983,0.38239496999142614,0.6867469879518071,2020,11,4,306,44,Post-Monsoon,75.82857142857144,68.32636363636364,26.7966996901804,68.53416666666666,23.668071364449535,30.33,124.98,41.06388888888889,54.74111111111111
Trichy,Trichy - AQ Station,10.7905,78.696,2020-12-01,44.68,Good,22.15,52.09,34.7,36.76,37.66,1.53,0.5102293729901818,0.5276986293152562,0.2607547491268421,0.2588907804519968,0.44134263875041546,0.3675513269904858,0.6711813393528969,0.933123749642755,0.41365461847389556,2020,12,4,336,49,Winter,72.91857142857143,66.35583333333334,29.163784292949952,68.53416666666666,23.668071364449535,30.33,124.98,41.06388888888889,54.74111111111111
Trichy,Trichy - AQ Station,10.7905,78.696,2021-01-01,72.52,Moderate,38.03,52.57,43.48,16.89,33.83,2.24,0.5102293729901818,0.5276986293152562,0.4979129397734048,0.45730707357833417,0.4455965437022266,0.587381071607411,0.17281163782292452,0.8236639039725635,0.6987951807228916,2021,1,1,1,53,Winter,75.28571428571429,66.83,28.21394682135229,68.53416666666666,23.668071364449535,30.33,124.98,41.06388888888889,54.74111111111111
Trichy,Trichy - AQ Station,10.7905,78.696,2021-02-01,57.49,Moderate,23.42,40.08,52.47,28.17,5.6,2.65,0.5102293729901818,0.5276986293152562,0.36987818383167215,0.2747590860105893,0.3349063919353052,0.812468703054582,0.45573112616002015,0.016861960560160042,0.863453815261044,2021,2,1,32,5,Winter,70.98857142857142,66.16285714285713,28.32162449941236,68.53416666666666,23.668071364449535,30.33,124.98,41.06388888888889,54.74111111111111
Trichy,Trichy - AQ Station,10.7905,78.696,2021-03-01,44.78,Good,29.11,36.4,32.66,14.5,38.17,2.3,0.5102293729901818,0.5276986293152562,0.2616066104438197,0.34585409280459806,0.3022931206380857,0.31647471206810207,0.11286681715575622,0.9476993426693342,0.7228915662650601,2021,3,1,60,9,Summer,62.07714285714286,64.73733333333332,24.614726428357017,68.53416666666666,23.668071364449535,30.33,124.98,41.06388888888889,54.74111111111111
Trichy,Trichy - AQ Station,10.7905,78.696,2021-04-01,72.38,Moderate,39.52,52.32,22.03,31.63,7.82,1.02,0.5102293729901818,0.5276986293152562,0.49672033392963616,0.4759242194699112,0.44338096820649164,0.050325488232348566,0.5425131677953349,0.08030865961703344,0.20883534136546184,2021,4,2,91,13,Summer,67.73857142857143,65.215,21.04365971701962,68.53416666666666,23.668071364449535,30.33,124.98,41.06388888888889,54.74111111111111
Trichy,Trichy - AQ Station,10.7905,78.696,2021-05-01,69.64,Moderate,36.57,48.18,49.73,21.2,16.03,2.01,0.5102293729901818,0.5276986293152562,0.4733793338444501,0.43906476955034596,0.40669103799711975,0.743865798698047,0.28091296714321545,0.314947127750786,0.6064257028112449,2021,5,2,121,17,Summer,62.769999999999996,65.47529411764705,13.797916509386488,68.53416666666666,23.668071364449535,30.33,124.98,41.06388888888889,54.74111111111111
Trichy,Trichy - AQ Station,10.7905,78.696,2021-06-01,83.58,Moderate,48.61,72.76,43.91,38.79,24.61,0.56,0.5102293729901818,0.5276986293152562,0.5921288014311269,0.589501304137317,0.6245264207377866,0.5981472208312468,0.7220968146476048,0.5601600457273507,0.024096385542168693,2021,6,2,152,22,Monsoon,63.58142857142858,66.48111111111112,14.954515960707246,68.53416666666666,23.668071364449535,30.33,124.98,41.06388888888889,54.74111111111111
Trichy,Trichy - AQ Station,10.7905,78.696,2021-07-01,79.89,Moderate,47.46,55.66,24.43,41.51,27.78,0.75,0.5102293729901818,0.5276986293152562,0.5606951188346536,0.5751323660330798,0.4729810568295114,0.11041562343515274,0.7903185352395284,0.6507573592454987,0.1004016064257028,2021,7,3,182,26,Monsoon,68.61142857142858,67.18684210526315,13.37550301679832,68.53416666666666,23.668071364449535,30.33,124.98,41.06388888888889,54.74111111111111
Trichy,Trichy - AQ Station,10.7905,78.696,2021-08-01,76.0,Moderate,47.96,57.56,44.78,18.17,27.36,0.67,0.5102293729901818,0.5276986293152562,0.5275577136042252,0.5813797304262265,0.4898194305970976,0.6199298948422635,0.20491597692500632,0.6387539296941983,0.06827309236947793,2021,8,3,213,30,Monsoon,69.10857142857142,67.6275,13.607647884641228,68.53416666666666,23.668071364449535,30.33,124.98,41.06388888888889,54.74111111111111
Trichy,Trichy - AQ Station,10.7905,78.696,2021-09-01,39.14,Good,25.38,34.32,47.56,10.22,9.68,0.8,0.5102293729901818,0.5276986293152562,0.2135616321662833,0.2992487544317241,0.2838595325135704,0.6895343014521784,0.00551793328317032,0.1334667047727922,0.12048192771084339,2021,9,3,244,35,Monsoon,66.48714285714286,66.27095238095238,17.445292310807634,68.53416666666666,23.668071364449535,30.33,124.98,41.06388888888889,54.74111111111111
Trichy,Trichy - AQ Station,10.7905,78.696,2021-10-01,64.95,Moderate,41.67,56.57,45.2,16.3,6.76,1.05,0.5102293729901818,0.5276986293152562,0.4334270380782008,0.5027878863604417,0.48104575163398694,0.6304456685027543,0.15801354401805873,0.05001428979708488,0.22088353413654618,2021,10,4,274,39,Post-Monsoon,69.36857142857143,66.2109090909091,14.714356287394324,68.53416666666666,23.668071364449535,30.33,124.98,41.06388888888889,54.74111111111111
