city,station,latitude,longitude,date,aqi,aqi_level,pm25,pm10,o3,no2,so2,co,latitude_normalized,longitude_normalized,aqi_normalized,pm25_normalized,pm10_normalized,o3_normalized,no2_normalized,so2_normalized,co_normalized,year,month,quarter,day_of_year,week,season,aqi_rolling_7,aqi_rolling_30,aqi_rolling_std,aqi_mean,aqi_std,aqi_min,aqi_max,pm25_mean,pm10_mean
Chennai,Chennai - AQ Station,13.0827,80.2707,2020-01-01,31.72,Good,15.04,24.12,52.96,12.1,27.72,1.63,1.0,1.0,0.15035352244654568,0.17005325878145158,0.1934640522875817,0.8247371056584877,0.05267118133935289,0.649042583595313,0.45381526104417663,2020,1,1,1,1,Winter,31.72,31.72,,69.49166666666666,26.263171128911274,26.49,131.46,41.379635416666666,56.31097222222222
Coimbatore,Coimbatore - AQ Station,11.0081,76.9366,2020-01-01,37.56,Good,29.03,26.1,56.54,24.52,38.81,1.96,0.5567236092860273,0.0,0.2001022233580373,0.34485451450169463,0.21101141021380304,0.914371557336004,0.36418359668924005,0.9659902829379824,0.5863453815261044,2020,1,1,1,1,Winter,37.56,37.56,,67.24097222222223,25.549649492357347,30.94,127.15,40.43375,54.14277777777778
Madurai,Madurai - AQ Station,9.9252,78.1198,2020-01-01,59.05,Moderate,31.74,41.76,46.17,32.52,15.46,0.64,0.32534213646998494,0.3548783779730653,0.3831672203765226,0.3787152295125494,0.3497950592666445,0.6547320981472209,0.5648357160772511,0.29865675907402117,0.05622489959839357,2020,1,1,1,1,Winter,59.05,59.05,,63.56930555555555,24.74768882800686,14.07,131.46,37.573055555555555,49.76444444444444
Salem,Salem - AQ Station,11.6643,78.1456,2020-01-01,80.51,Moderate,62.63,69.8,25.1,47.79,29.49,1.48,0.6969327906156855,0.3626165981824183,0.5659766589999147,0.764677401721149,0.5982940068682839,0.12719078617926896,0.9478304489591172,0.6996284652757929,0.393574297188755,2020,1,1,1,1,Winter,80.51,80.51,,69.12458333333333,25.989965178214245,25.28,129.85,42.51777777777778,55.07013888888889
Trichy,Trichy - AQ Station,10.7905,78.696,2020-01-01,40.85,Good,20.66,20.7,26.16,13.59,5.01,0.87,0.5102293729901818,0.5276986293152562,0.2281284606866002,0.24027363456041984,0.16315497950592667,0.15373059589384078,0.09004263857536995,0.0,0.14859437751004015,2020,1,1,1,1,Winter,40.85,40.85,,68.53416666666666,23.668071364449535,30.33,124.98,41.06388888888889,54.74111111111111
Tiruppur,Tiruppur - AQ Station,11.1085,77.3411,2020-01-01,64.56,Moderate,49.06,55.03,40.17,38.04,38.19,2.16,0.5781759131651761,0.12132209591793826,0.43010477894198823,0.5951239320911491,0.4673978065802592,0.5045067601402105,0.7032856784549787,0.9482709345527293,0.6666666666666666,2020,1,1,1,1,Winter,64.56,64.56,,69.14194444444445,23.118231732107137,19.27,124.05,41.65555555555555,57.185937499999994
Erode,Erode - AQ Station,11.3919,77.7172,2020-01-01,79.5,Moderate,48.71,60.72,51.74,26.51,27.5,0.76,0.6387295278997467,0.23412615098527498,0.5573728596984411,0.5907507770159465,0.5178243048631882,0.7941912869303956,0.41409581138700785,0.6427550728779652,0.10441767068273092,2020,1,1,1,1,Winter,79.5,79.5,,72.91763888888889,21.908433162652457,34.2,123.12,43.804722222222225,57.378750000000004
Vellore,Vellore - AQ Station,12.9716,79.1339,2020-01-01,62.22,Moderate,36.38,45.31,40.51,12.13,17.2,1.85,0.976261444611818,0.6590384211631307,0.4101712241247124,0.4366907710809503,0.38125623130608177,0.5130195292939409,0.05342362678705796,0.34838525292940836,0.5421686746987951,2020,1,1,1,1,Winter,62.22,62.22,,70.34527777777777,22.563088139716736,25.19,116.89,41.774027777777775,55.21263888888889
Kanyakumari,Kanyakumari - AQ Station,8.40255,77.5385,2020-01-01,24.05,Good,10.98,14.3,20.02,17.88,6.95,2.43,0.0,0.18052847844995631,0.08501575943436408,0.11932465990910086,0.10643624681511023,0.0,0.19764233759719085,0.05544441268933982,0.7751004016064257,2020,1,1,1,1,Winter,24.05,24.05,,67.53597222222223,22.388828744769068,21.99,122.28,40.741527777777776,53.04833333333333
Dindigul,Dindigul - AQ Station,10.3596,77.9739,2020-01-01,36.42,Good,15.72,22.2,22.83,25.19,20.61,0.95,0.41815967436941126,0.3111184427581656,0.19039100434449271,0.17854967435613103,0.17644843248033676,0.0703555332999499,0.380988211687986,0.44584166904829947,0.18072289156626503,2020,1,1,1,1,Winter,36.42,36.42,,68.4373611111111,24.64935938904493,22.39,130.4,40.68144097222222,54.345555555555556
Dindigul,Dindigul - AQ Station,10.3596,77.9739,2020-02-01,66.43,Moderate,41.12,44.96,41.76,43.23,20.45,1.76,0.41815967436941126,0.3111184427581656,0.4460345855694693,0.4959157855279804,0.3781544256120527,0.5443164747120681,0.8334587409079508,0.4412689339811374,0.5060240963855421,2020,2,1,32,5,Winter,51.425000000000004,51.425000000000004,21.220274503408294,68.4373611111111,24.64935938904493,22.39,130.4,40.68144097222222,54.345555555555556
Kanyakumari,Kanyakumari - AQ Station,8.40255,77.5385,2020-02-01,79.4,Moderate,45.28,66.04,58.98,32.09,6.72,2.23,0.0,0.18052847844995631,0.5565209983814635,0.5478938572789604,0.5649717514124294,0.9754631947921881,0.5540506646601456,0.04887110603029437,0.6947791164658634,2020,2,1,32,5,Winter,51.725,51.725,39.138360338675405,67.53597222222223,22.388828744769068,21.99,122.28,40.741527777777776,53.04833333333333
Vellore,Vellore - AQ Station,12.9716,79.1339,2020-02-01,40.13,Good,23.85,40.11,31.2,31.64,6.66,1.29,0.976261444611818,0.6590384211631307,0.22199505920436152,0.2801318193886954,0.33517226099479336,0.2799198798197296,0.54276398294457,0.04715633038010861,0.3172690763052209,2020,2,1,32,5,Winter,51.175,51.175,15.61998879641083,70.34527777777777,22.563088139716736,25.19,116.89,41.774027777777775,55.21263888888889
